dominio,fonte,produto_dado,frequencia_alvo,granularidade,acesso,papel,limitacao_principal,prioridade,url
Mercado,CME market data,"soja, opções e curvas internacionais",tempo real/fechamento,"contrato e vencimento",licenciado,"paridade, curva e volatilidade","unidade bushel/USD e licença",P1,https://www.cmegroup.com/market-data.html
Mercado,Banco Central SGS/PTAX,"câmbio, juros e séries macro",diário/mensal,"série",aberto,"curva macro, indexadores e cenários","horários, revisão e metodologia",P0,https://www.bcb.gov.br/estabilidadefinanceira/historicocotacoes
Mercado,Comex Stat,"importação/exportação por produto e origem/destino",mensal,"NCM, país e UF",aberto,"demanda, insumos e concentração comercial","defasagem e classificação NCM",P1,https://comexstat.mdic.gov.br/
Insumos,ANP,"preços de combustíveis por recorte e posto",semanal,"município/estado/posto",aberto,"benchmark de diesel e regime","cobertura amostral; não é preço contratado do produtor",P1,https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/levantamento-de-precos-de-combustiveis-ultimas-semanas-pesquisadas
Energia,ANEEL base de tarifas,"TUSD e tarifas de distribuidoras",evento regulatório,"distribuidora e classe",aberto,"benchmark de energia elétrica","fatura depende de modalidade, demanda, impostos e contratos",P1,https://portalrelatorios.aneel.gov.br/luznatarifa/basestarifas
Energia,EPE WEBMAP,"geração, transmissão, subestações, biocombustíveis e combustíveis",versionado,"camada geográfica",aberto/WMS,"infraestrutura e exposição","separar existente, planejado e disponível",P2,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/webmap-epe
Logística,ANTT dados abertos,"cargas, ferrovias, rodovias e concessões",periódico,"operador/trecho",aberto,"infraestrutura e regulação","não equivale a frete spot",P1,https://dados.antt.gov.br/
Logística,DNIT dados abertos,"pavimento, obras, tráfego, vias e pesagem",periódico,"trecho rodoviário",aberto,"tempo, interrupção e rota alternativa","data e cobertura variam",P1,https://servicos.dnit.gov.br/dadosabertos/
Logística,ONTL/Infra S.A.,"bases integradas, geoportal e simuladores multimodais",mensal/anual/versionado,"rede e corredor",público,"grafo logístico e cenários","distinguir histórico, existente e projeto",P1,https://ontl.infrasa.gov.br/
Logística,CONAB SICARM,"localização e capacidade de armazéns",periódico,"unidade armazenadora",público,"capacidade e distância","cadastro não prova disponibilidade contratada",P1,https://portaldeinformacoes.conab.gov.br/
Eventos,GDACS,"alertas, episódios, geometrias e impacto de desastres",tempo quase real,"evento e área",aberto/API,"radar global e interseção de exposição","alerta não prova dano individual",P2,https://www.gdacs.org/gdacsapi/swagger/index.html
Eventos,Copernicus EMS,"mapeamento de emergência por satélite",evento,"área de ativação",público conforme produto,"confirmação espacial de desastre","cobertura depende de ativação e produto",P2,https://mapping.emergency.copernicus.eu/
Eventos,NASA Earthdata/LANCE/FIRMS,"perigos naturais e observações próximas do tempo real",quase real/diário,"pixel/evento",aberto/login em parte,"incêndio, enchente, seca e outros perigos","algoritmo, resolução e falso positivo",P2,https://www.earthdata.nasa.gov/topics/human-dimensions/natural-hazards
Geopolítica,GPR Caldara-Iacoviello,"índice global, ameaças, atos e países",diário/mensal,"global/país",aberto CC BY 4.0,"regime e estudos de evento","não mede exposição específica do produtor",P2,https://www.policyuncertainty.com/gpr.html
Geopolítica,GDELT,"eventos, entidades, locais, temas e tom em notícias",15 minutos,"evento/notícia/local",aberto,"descoberta e early warning","viés de mídia, duplicidade e erro algorítmico",P2,https://www.gdeltproject.org/
Compliance,ONU lista consolidada de sanções,"pessoas, entidades, regimes e identificadores",evento,"sujeito",aberto XML/HTML/PDF,"screening e regras","match nominal exige revisão e jurisdição",P0,https://main.un.org/securitycouncil/en/content/un-sc-consolidated-list
Sinais,X/Twitter API,"posts públicos recentes, autores, timestamps, métricas e mídia",tempo real/recente,"post e autor",licenciado/contratual,"gatilho e reação de mercado","ruído, bots, manipulação, retenção e cobertura histórica",P2,https://developer.x.com/
Tecnologia,Embrapa Agricultura de Precisão,"simulação de custos, lucro e ponto de equilíbrio em soja e milho",publicação,"sistema/região",público,"hipóteses e desenho de avaliação econômica","simulação histórica não é ganho garantido do produtor",P1,https://www.embrapa.br/en/busca-de-publicacoes/-/publicacao/1124732/agricultura-de-precisao-no-contexto-do-sistema-de-producao-lucratividade-e-sustentabilidade
Tecnologia,Embrapa Rede de Agricultura de Precisão,"máquinas, sensores, drones, IoT, redes e software",projeto,"tecnologia/processo",público,"taxonomia tecnológica e mecanismos","benefício depende de manejo e uso",P1,https://www.embrapa.br/en/busca-de-projetos/-/projeto/216563/agricultura-de-precisao-ap-para-sustentabilidade-do-sistema-produtivo-agricola-pecuario-e-florestal-brasileiro
Tecnologia,Embrapa Automação e AP,"conceitos, tecnologias, ISOBUS e FMIS",periódico,"processo e tecnologia",público,"arquitetura e avaliação de maturidade","fonte conceitual; requer evidência individual",P1,https://www.embrapa.br/en/tema-automacao-e-agricultura-de-precisao/sobre-o-tema
Equipamentos,CONAB Norma 30.302,"coeficientes, hora-máquina, manutenção, depreciação, vida útil e residual",versionado,"pacote tecnológico/região",público,"benchmark de custo e estrutura de cálculo","parâmetros regionais não substituem telemetria/contabilidade",P0,https://www.gov.br/conab/pt-br/acesso-a-informacao/institucional/atos-normativos/normas-da-organizacao/operacoes/30-302_norma_metodologia_de_custo_de_producao.pdf/@@download/file
Equipamentos,IBGE Censo Agropecuário,"máquinas, veículos, energia, silos, combustíveis, investimento, financiamento e bens",quinquenal irregular,"estabelecimento agregado/município",público,"benchmark estrutural","defasagem e ausência de identificação individual",P2,https://www.ibge.gov.br/estatisticas/economicas/agricultura-e-pecuaria/21814-2017-censo-agropecuario.html
Financiamento,BNDES Finame Agrícola,"itens financiáveis, composição da taxa, participação, prazo e garantias",evento/versionado,"linha e cliente",público + agente,"cenário e validação de proposta de investimento","condições mudam e taxa do agente é negociada",P1,https://www.bndes.gov.br/wps/portal/site/home/financiamento/produto/bndes-finame-agricola
Financiamento,Banco Central Resolução CMN 4881,"disciplina do custo efetivo total",norma,"operação no escopo aplicável",público,"governança do custo do crédito","aplicabilidade deve ser validada por produto",P0,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=4881
Financiamento,Banco Central IN BCB 83,"exemplo de valor liberado, financiado, tarifas, tributos, seguro e parcelas",norma,"operação no escopo aplicável",público,"memória do custo efetivo","exemplo normativo não substitui contrato real",P0,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Instru%C3%A7%C3%A3o%20Normativa%20BCB&numero=83
