dominio,feature_name,granularidade,campos_fonte,calculo_resumido,conjunto_temporal,uso,mecanismo_economico,tratamento_ausencia,prioridade
Mercado,hedge_ratio_p50,cultura-safra,"delta_equivalent;production_p50;eligible_open_volume",proteção equivalente sobre produção P50,originação/monitoramento,hedge/PD,"proteção reduz risco de preço",separar hedge econômico de especulação,P0
Mercado,overhedge_ratio_p10,cultura-safra,"committed_qty;delta_equivalent;production_p10",obrigações/proteção vendida acima da produção P10,monitoramento,liquidez/PD,"quebra de safra pode exigir recompra ou liquidação",cenário P10 obrigatório,P0
Mercado,basis_local,praca-data,"physical_price;converted_future_price;quality;freight",preço físico menos futuro comparável,originação/monitoramento,receita/alerta,"futuro não protege basis regional",fonte e conversão registradas,P0
Mercado,basis_volatility_90d,praca-data,"basis_daily;available_time",volatilidade móvel com dados disponíveis,originação/monitoramento,PD/stress,"instabilidade aumenta erro do preço líquido",mínimo de observações,P1
Mercado,futures_curve_slope,contrato-data,"near_price;deferred_price;days",diferença anualizada entre vencimentos,originação/monitoramento,mercado,"carry altera armazenagem e decisão comercial",não usar contratos ilíquidos,P1
Mercado,implied_volatility,contrato-data,"option_price;strike;expiry;underlying;rate",volatilidade implícita validada,monitoramento,stress/alerta,"mercado precifica incerteza",fallback para volatilidade realizada,P1
Mercado,margin_call_stress_5d,grupo-data,"positions;price_shock;volatility;margin_rules;available_cash",chamada acumulada sob choque de 5 dias,originação/monitoramento,liquidez/PD,"hedge pode gerar squeeze antes da receita",motor de margem e regras da bolsa,P0
Mercado,margin_liquidity_days,grupo-data,"eligible_cash;credit_line;expected_margin_calls",dias até exaurir recursos de margem,monitoramento,early warning,"mede capacidade de sustentar hedge",linha precisa estar disponível,P0
Mercado,settlement_receipt_gap_days,contrato,"derivative_settlement_date;physical_receipt_date",diferença entre desembolso e recebimento,originação/monitoramento,caixa,"descasamento temporal cria funding gap",cenário contratual,P0
Insumos,unbought_input_cost_exposure,cultura-safra,"required_qty;purchased_qty;delivered_qty;price;currency",quantidade não comprada × preço de stress,originação/monitoramento,caixa/limite,"choque afeta apenas parcela aberta",não usar custo total indiscriminadamente,P0
Insumos,input_supplier_concentration,grupo-safra,"supplier_id;committed_value;critical_input",HHI ou maior participação por insumo crítico,originação/monitoramento,operacional/PD,"interrupção de fornecedor afeta plantio",mapear fornecedor econômico,P1
Clima,dry_spell_max_days,talhao-fase,"daily_rain;phenology_start;phenology_end;data_version",maior sequência abaixo do limiar por fase,originação histórico/monitoramento,produtividade/alerta,"déficit em fase crítica reduz rendimento",grade+estação e qualidade,P1
Clima,heat_stress_hours,talhao-fase,"temperature_hourly;threshold;phenology",horas acima de limiar agronômico,monitoramento,produtividade,"calor extremo afeta cultura conforme fase",limiar validado por agronomia,P1
Clima,excess_rain_harvest,talhao-janela,"rainfall;harvest_window;soil_drainage",chuva acumulada/intensidade na colheita,monitoramento,qualidade/logística,"atraso e perda de qualidade afetam caixa",cenário por drenagem,P1
Clima,soil_moisture_anomaly,talhao-data,"smap_or_model;climatology;pixel_quality",anomalia padronizada,originação/monitoramento,produtividade,"disponibilidade hídrica antecede estresse",resolução e camada sinalizadas,P1
Agronômico,vegetation_curve_deviation,talhao-safra,"satellite_index;valid_pixels;phenology;historical_curve",desvio da curva esperada por fase,monitoramento,early warning,"captura emergência/falha/estresse",nuvem e sensor controlados,P1
Agronômico,pest_severity_trend,talhao-semana,"pest_species;sample_points;severity;control_date;efficacy",tendência padronizada de incidência/severidade,monitoramento,produtividade/alerta,"praga aumenta perda e custo residual",exige amostragem registrada,P1
Agronômico,replanting_share,talhao-safra,"replanted_area;planted_area;reason;date",área replantada sobre plantada,monitoramento,custo/produtividade,"replantio aumenta custo e altera janela",evidência de talhão,P1
Logística,primary_route_distance_km,rota,"origin;destination;network_version;segments",menor rota operacional validada,originação/monitoramento,custo/receita,"distância determina frete e tempo",não usar distância geodésica,P0
Logística,delivered_freight_brl_t,rota-data,"contract_price;spot_price;tolls;transshipment;loss;distance",custo total por tonelada,originação/monitoramento,preço líquido,"frete reduz receita na fazenda",contrato prevalece sobre benchmark,P0
Logística,route_reliability_score,rota-período,"closure_events;road_condition;delay;seasonality",índice por frequência e duração de falhas,originação/monitoramento,stress/alerta,"interrupção posterga receita e eleva custo",histórico mínimo e fonte,P1
Logística,alternative_route_penalty,origem-destino,"primary_cost;alternative_cost;primary_time;alternative_time",incremento de custo/tempo no fallback,originação/monitoramento,stress,"redundância limita impacto de bloqueio",sem alternativa = flag crítico,P1
Logística,storage_buffer_days,unidade-safra,"available_capacity;daily_harvest_volume;contracted_capacity",dias de colheita cobertos por capacidade,originação/monitoramento,liquidez/qualidade,"armazenagem reduz venda forçada e congestionamento",capacidade deve estar disponível,P1
Energia,diesel_open_cost_exposure,grupo-safra,"required_liters;purchased_liters;contract_price;benchmark",litros abertos × choque de preço,originação/monitoramento,custo/limite,"diesel afeta operação e frete",consumo específico do produtor,P1
Energia,electricity_effective_brl_kwh,unidade-mês,"invoice_total;consumption_kwh;demand;taxes;generation_credit",custo efetivo por kWh,originação/monitoramento,custo,"secagem, armazenagem e irrigação dependem de energia",fatura preferida a tarifa pública,P1
Energia,critical_energy_outage_hours,unidade-período,"outage_start;outage_end;critical_process;backup",horas sem fonte principal e backup,monitoramento,early warning,"interrupção pode causar perda e atraso",registro operacional,P1
Energia,backup_energy_coverage_hours,unidade,"backup_capacity;fuel_stock;critical_load",horas de cobertura de carga crítica,originação/monitoramento,continuidade,"redundância reduz perda em falha",teste e manutenção exigidos,P2
Geopolitica,gpr_regime_change,data,"gpr_index;gprt;gpra;available_time",variação e percentil histórico,monitoramento,regime/stress,"sinaliza mudança global, não impacto específico",sem efeito direto no score,P2
Geopolitica,exposed_country_event_score,grupo-data,"event_type;country;severity;trade_exposure;supplier_or_buyer",severidade × exposição econômica,monitoramento,alerta/stress,"evento só importa via relação do produtor",zero se sem exposição validada,P2
Geopolitica,sanction_match_status,entidade-data,"name;identifier;list_version;regime;match_score;review_status",status após matching e revisão,originação/monitoramento,motor de regras,"sanção pode impedir transação conforme regra",nunca decidir só por nome,P0
Noticias,news_source_diversity,evento-janela,"article_id;publisher;canonical_event;timestamp",número efetivo de fontes independentes,monitoramento,confiança,"confirmação reduz rumor e duplicação",mínimo de diversidade,P2
Noticias,market_confirmation_score,evento-janela,"event_time;price_return;volume;volatility;basis;expected_direction",coerência entre evento e reação observada,monitoramento,early warning,"conecta narrativa ao canal econômico",sem reação = alerta informacional,P2
Noticias,social_signal_acceleration,tema-janela,"post_id;author_id;created_at;metrics;dedup_cluster",aceleração de posts deduplicados e ponderados,monitoramento,descoberta,"pode antecipar notícia ou refletir manipulação",não usar sozinho para decisão,P2
Emergente,novelty_flag,evento-entidade,"feature_vector;training_support;distance;source_confidence",sinal de baixa cobertura histórica,monitoramento,overlay/revisão,"modelo conhecido pode falhar fora da amostra",revisão humana obrigatória,P1
Qualidade,point_in_time_completeness,decisão,"required_feature;available_time;decision_time;quality_status",percentual de features válidas no instante,originação,confiança/fallback,"baixa cobertura aumenta incerteza",gates por campo crítico,P0
Decisão,model_analyst_disagreement,decisão,"model_recommendation;analyst_recommendation;reason_code",diferença categórica/numérica,originação/monitoramento,governança,"discordância informa ajuste e risco de modelo",sempre registrar motivo,P1
Decisão,override_rate_rolling,credor-período,"decision_id;override_flag;authority;outcome",taxa móvel e por motivo,monitoramento,risco de modelo/política,"overrides sistemáticos indicam falha ou desvio",segmentar por alçada,P1
Equipamentos,asset_capacity_margin,ativo-operação-safra,"area;effective_capacity;workable_hours;mechanical_availability;operator_availability",horas disponíveis/horas requeridas menos um,originação/monitoramento,capacidade/PD,"folga insuficiente aumenta risco de perder janela",benchmark apenas com baixa confiança,P0
Equipamentos,timely_planting_probability,grupo-safra,"planting_demand;asset_capacity;weather_window;downtime;contracted_service",probabilidade de concluir plantio na janela,originação/monitoramento,produtividade/alerta,"atraso altera potencial e calendário",cenário se histórico insuficiente,P1
Equipamentos,harvest_capacity_margin,grupo-safra,"harvest_area;effective_capacity;workable_hours;transport_and_storage_capacity",folga de colheita incluindo gargalos,originação/monitoramento,produtividade/caixa,"capacidade insuficiente aumenta perda e atraso",incluir terceirização validada,P0
Equipamentos,machine_downtime_rate,ativo-período,"downtime_hours;scheduled_hours;criticality",horas indisponíveis/horas programadas,originação/monitoramento,continuidade/PD,"falha reduz capacidade na janela",não imputar zero sem log,P1
Equipamentos,maintenance_compliance,ativo-data,"maintenance_plan;due_event;completed_event;meter_reading",itens executados no prazo/itens devidos,originação/monitoramento,continuidade/valor,"manutenção reduz falha e preserva valor",sem plano = baixa confiança,P1
Equipamentos,maintenance_backlog,grupo-data,"overdue_work_order;estimated_cost;criticality",soma ponderada de manutenção vencida,originação/monitoramento,capex/alerta,"adiamento pode antecipar falha e reposição",orçamento conservador sinalizado,P0
Equipamentos,repair_cost_trend,ativo-período,"repair_invoice;work_order;meter_reading",tendência de reparos por hora/ha,originação/monitoramento,reposição,"crescimento pode indicar fim de vida econômica",mínimo de histórico,P1
Equipamentos,fuel_l_ha,operação-safra,"fuel_issue;telemetry;area;operation_type",litros consumidos/hectare por operação,originação/monitoramento,custo/eficiência,"eficiência altera custo e emissão",benchmark se ausência com flag,P1
Equipamentos,field_efficiency,ativo-operação,"effective_area;elapsed_hours;rated_width;speed",capacidade efetiva/teórica,originação/monitoramento,capacidade/custo,"paradas e manobras reduzem janela",ficha técnica não substitui observado,P1
Equipamentos,critical_asset_single_point,grupo-safra,"criticality;backup_asset;service_contract;response_time",flag de ativo crítico sem fallback,originação/monitoramento,overlay/alerta,"falha única interrompe processo crítico",revisão operacional,P0
Equipamentos,fleet_age_hours_index,grupo-data,"asset_age;meter_reading;criticality;replacement_curve",idade e uso normalizados ponderados,originação/monitoramento,reposição/PD,"idade só importa com horas, condição e criticidade",não usar isoladamente,P1
Equipamentos,remaining_useful_life,ativo-data,"condition;meter;maintenance;market_curve;obsolescence",vida econômica remanescente,originação/monitoramento,capex/LGD,"vida curta cria reposição próxima",intervalo se laudo ausente,P0
Equipamentos,economic_depreciation_12m,ativo-ano,"new_comparable_value;residual_value;remaining_life;usage;condition",perda econômica anual por método versionado,originação/monitoramento,custo/caixa,"uso do capital e desgaste compõem custo",não substituir por taxa fiscal fixa,P0
Equipamentos,collateral_realizable_value,ativo-data,"market_value;lien;priority;sale_cost;sale_time;haircut",valor líquido realizável ao credor,originação/monitoramento,LGD/limite,"valor contábil não representa recuperação",laudo/mercado e stress,P0
Equipamentos,replacement_capex_12m,grupo-data,"replacement_target;all_in_replacement_cost;disposal_value",capex necessário em 12 meses líquido da baixa,originação/monitoramento,caixa/limite,"reposição compete com serviço da dívida",faixa quando data incerta,P0
Equipamentos,replacement_capex_36m,grupo-data,"replacement_plan;all_in_cost;disposal_value",capex em 36 meses,originação/monitoramento,caixa/renovação,"pressão de médio prazo altera dívida futura",cenários por prioridade,P1
Equipamentos,replacement_reserve_coverage,grupo-data,"eligible_reserve;replacement_capex_36m",reserva elegível/capex esperado,originação/monitoramento,capacidade,"reserva reduz necessidade de nova dívida",não contar caixa operacional comprometido,P1
Tecnologia,telemetry_coverage,grupo-período,"valid_operation_hours;total_operation_hours;data_quality",percentual de operação com dados válidos,originação/monitoramento,confiança/gestão,"telemetria melhora evidência somente quando usada",zero se inexistente; não penalizar porte sem política,P2
Tecnologia,software_support_risk,ativo-data,"software_version;support_end;vendor;offline_mode;interoperability",risco padronizado de suporte e continuidade,originação/monitoramento,obsolescência/overlay,"fim de suporte pode parar integração ou máquina",revisão técnica,P2
Crédito,all_in_equipment_credit_cost,contrato,"released_amount;installments;fees;taxes;insurance;dates",TIR anualizada do fluxo completo,originação/monitoramento,custo/capacidade,"custo efetivo define parcela e retorno mínimo",preservar método e convenção,P0
Crédito,equipment_debt_service_12m,grupo-data,"equipment_contract;principal;interest;fees;schedule",pagamentos de investimento em 12 meses,originação/monitoramento,caixa/DSCR,"parcela compete com custeio e dívida existente",cronograma obrigatório,P0
Crédito,production_credit_all_in_cost,operação-safra,"drawdown;repayment;interest;indexer;fees;barter_terms;guarantees",TIR/custo efetivo do custeio,originação/monitoramento,margem/DSCR,"taxa nominal omite encargos e preço embutido",comparar fluxos equivalentes,P0
Crédito,stressed_refinancing_cost,grupo-data,"maturity;refinancing_curve;spread_stress;fees",custo efetivo sob rolagem adversa,originação/monitoramento,stress/PD,"refinanciamento pode ocorrer em regime pior",cenário governado,P1
Investimento,incremental_equipment_dscr,projeto-período,"incremental_cashflow;new_debt_service",caixa incremental/serviço da nova dívida,originação/monitoramento,aprovação de capex,"ativo deve sustentar financiamento sem canibalizar safra",cenários sem ganho não comprovado,P0
Investimento,break_even_utilization,ativo-projeto,"fixed_cost;variable_cost;service_alternative_price;capacity",horas/hectares mínimos para posse superar alternativa,originação,decisão de investimento,"subutilização eleva custo unitário",usar preço de serviço comparável,P1
Investimento,incremental_npv,projeto,"incremental_revenue;avoided_cost;capex;working_capital;discount_rate;residual",VPL incremental versus alternativa,originação,decisão de investimento,"mede valor após custos e tempo",ganho de produtividade em cenário se não observado,P1
Mercado,margin_liquidity_shortfall,grupo-data-hora,"projected_margin_call;eligible_cash;committed_margin_lines;settlement_schedule",máximo entre zero e chamada projetada menos liquidez elegível,originação/monitoramento,liquidez/PD/alerta,"posição protegida pode gerar necessidade de caixa antes do recebimento físico",exigir posição e linhas reconciliadas; caso contrário cenário e baixa confiança,P0
