field_name,nivel,tipo,obrigatorio,descricao,evidencia_preferida,temporalidade,uso
available_time,ativo,timestamp,sim,Quando a informação ficou disponível,metadado,contínuo,point-in-time
source_version,ativo,string,sim,Versão da fonte ou laudo,metadado,contínuo,auditoria
credit_contract_id,financiamento,string,condicional,Identificador do contrato de crédito,contrato,eventual,linhagem
credit_purpose,financiamento,categoria,condicional,Investimento custeio manutenção ou refinanciamento,contrato,eventual,segmentação
requested_amount,financiamento,decimal,condicional,Valor solicitado,proposta,evento,necessidade
released_amount,financiamento,decimal,condicional,Valor efetivamente liberado,extrato,evento,fluxo
borrower_contribution,financiamento,decimal,condicional,Entrada ou recursos próprios,extrato/contrato,evento,estrutura
indexer,financiamento,string,condicional,Indexador de remuneração,contrato,eventual,stress
nominal_rate,financiamento,decimal,condicional,Taxa nominal,contrato,eventual,custo
lender_spread,financiamento,decimal,não,Spread do agente quando separado,contrato,eventual,custo
fees_taxes_insurance,financiamento,decimal,sim,Encargos adicionais vinculados,contrato/comprovante,evento,CET econômico
grace_end_date,financiamento,data,não,Fim da carência,contrato,eventual,caixa
maturity_date,financiamento,data,sim,Vencimento final,contrato,eventual,dívida
amortization_schedule,financiamento,relação,sim,Parcelas por data moeda principal juros e encargos,contrato,eventual,caixa
balloon_amount,financiamento,decimal,não,Parcela residual ou balão,contrato,eventual,risco de refinanciamento
all_in_effective_cost,financiamento,decimal,sim,TIR do fluxo completo com encargos,cálculo versionado,eventual,custo de crédito
stressed_refinancing_cost,financiamento,decimal,sim,Custo no cenário de rolagem adversa,cenário versionado,monitoramento,stress
incremental_cashflow,financiamento,relação,condicional,Caixa incremental atribuível ao investimento,projeto e realizado,mensal,viabilidade
incremental_dscr,financiamento,decimal,condicional,Caixa incremental sobre serviço da nova dívida,cálculo,mensal,capacidade
